run,comparison,s3i
92,L2=40,2.43818809
93,L2=40,2.36062920
94,L2=40,2.40851864
95,L2=40,2.44759207
96,L2=40,2.24523456
97,L2=40,2.32474846
98,L2=40,2.42807710
99,L2=40,2.22394685
100,L2=40,2.36049223
1,L2=50,2.64061388
2,L2=50,2.44773675
3,L2=50,2.50548195
4,L2=50,2.38341878
5,L2=50,2.35226611
6,L2=50,2.50769225
7,L2=50,2.77920632
8,L2=50,2.79603561
9,L2=50,2.36845775
10,L2=50,2.82375361
11,L2=50,2.50703593
12,L2=50,2.72182343
13,L2=50,2.40313744
14,L2=50,2.64239681
15,L2=50,2.82999527
16,L2=50,2.41059405
17,L2=50,2.62153878
18,L2=50,2.53928695
19,L2=50,2.58161021
20,L2=50,2.66317295
21,L2=50,2.39448813
22,L2=50,2.49685993
23,L2=50,2.54402716
24,L2=50,2.94223098
25,L2=50,2.42260470
26,L2=50,2.76616297
27,L2=50,2.50604882
28,L2=50,2.27401572
29,L2=50,2.46144302
30,L2=50,2.60409933
31,L2=50,2.45714741
32,L2=50,2.42845331
33,L2=50,2.96190944
34,L2=50,2.59055826
35,L2=50,2.52533783
36,L2=50,2.56462553
37,L2=50,2.39084203
38,L2=50,2.64475268
39,L2=50,2.44286900
40,L2=50,2.24617399
41,L2=50,2.78556957
42,L2=50,2.44285592
43,L2=50,2.35926845
44,L2=50,2.55278571
45,L2=50,2.52992335
46,L2=50,2.56121586
47,L2=50,2.40578998
48,L2=50,2.49826540
49,L2=50,2.69657807
50,L2=50,2.57005996
51,L2=50,2.44345707
52,L2=50,2.54193355
53,L2=50,2.84288972
54,L2=50,2.66987344
55,L2=50,2.36178802
56,L2=50,2.74331879
57,L2=50,2.60273979
58,L2=50,2.51564439
59,L2=50,2.56839388
60,L2=50,2.54965765
61,L2=50,2.80329526
62,L2=50,2.37595337
63,L2=50,2.61776187
64,L2=50,2.66512368
65,L2=50,2.60611407
66,L2=50,2.68923512
67,L2=50,2.58757325
68,L2=50,2.74363262
69,L2=50,2.69522167
70,L2=50,2.48434756
71,L2=50,2.54903832
72,L2=50,2.54593859
73,L2=50,2.45157590
74,L2=50,2.74768426
75,L2=50,2.73912075
76,L2=50,2.50967116
77,L2=50,2.48988997
78,L2=50,2.73789253
79,L2=50,2.52878953
80,L2=50,2.62313142
81,L2=50,2.63057536
82,L2=50,2.71335980
83,L2=50,2.40650986
84,L2=50,2.70536990
85,L2=50,2.52152780
86,L2=50,2.50146816
87,L2=50,2.34664121
88,L2=50,2.68719176
89,L2=50,2.57240485
90,L2=50,2.58149997
91,L2=50,2.73161249
92,L2=50,2.50542487
93,L2=50,2.66514885
94,L2=50,2.54783651
95,L2=50,2.24666454
96,L2=50,2.69289187
97,L2=50,2.57848510
98,L2=50,2.51140138
99,L2=50,2.61313762
100,L2=50,2.38453588
