run,noise_level,s3i
67,c=4,0.38406337
68,c=4,0.34793773
69,c=4,0.52375567
70,c=4,0.35574371
71,c=4,0.35100087
72,c=4,0.29578837
73,c=4,0.32728109
74,c=4,0.40062304
75,c=4,0.36973004
76,c=4,0.29037454
77,c=4,0.35395313
78,c=4,0.38004775
79,c=4,0.31759734
80,c=4,0.45775898
81,c=4,0.39237712
82,c=4,0.31638835
83,c=4,0.35464397
84,c=4,0.33681992
85,c=4,0.41676208
86,c=4,0.26260066
87,c=4,0.30629380
88,c=4,0.30309802
89,c=4,0.27832062
90,c=4,0.40104261
91,c=4,0.31475097
92,c=4,0.29951506
93,c=4,0.34432128
94,c=4,0.34469065
95,c=4,0.30297700
96,c=4,0.41918768
97,c=4,0.31709972
98,c=4,0.33079686
99,c=4,0.29560326
100,c=4,0.37881516
1,c=5,0.33724008
2,c=5,0.31195683
3,c=5,0.21652877
4,c=5,0.41167302
5,c=5,0.31549265
6,c=5,0.32771105
7,c=5,0.34009847
8,c=5,0.27978177
9,c=5,0.42258740
10,c=5,0.37713908
11,c=5,0.25757874
12,c=5,0.38646177
13,c=5,0.32231005
14,c=5,0.35998974
15,c=5,0.29968073
16,c=5,0.37729575
17,c=5,0.33508567
18,c=5,0.34645824
19,c=5,0.37989957
20,c=5,0.34902751
21,c=5,0.37593923
22,c=5,0.36950731
23,c=5,0.33117447
24,c=5,0.38506334
25,c=5,0.33058429
26,c=5,0.36267029
27,c=5,0.34640107
28,c=5,0.41649225
29,c=5,0.34219815
30,c=5,0.29882262
31,c=5,0.38734424
32,c=5,0.41965455
33,c=5,0.35228746
34,c=5,0.34431938
35,c=5,0.32458217
36,c=5,0.41167598
37,c=5,0.40152984
38,c=5,0.33798104
39,c=5,0.39459946
40,c=5,0.36719104
41,c=5,0.39480735
42,c=5,0.29908286
43,c=5,0.36850654
44,c=5,0.34843839
45,c=5,0.34124800
46,c=5,0.37205243
47,c=5,0.36302850
48,c=5,0.44392709
49,c=5,0.38941420
50,c=5,0.28112958
51,c=5,0.37048443
52,c=5,0.29008882
53,c=5,0.38924123
54,c=5,0.29623343
55,c=5,0.34201229
56,c=5,0.31990557
57,c=5,0.35374360
58,c=5,0.31848789
59,c=5,0.40100784
60,c=5,0.37615001
61,c=5,0.31664800
62,c=5,0.40219243
63,c=5,0.37088429
64,c=5,0.35047860
65,c=5,0.40502854
66,c=5,0.29765127
67,c=5,0.37866140
68,c=5,0.38203120
69,c=5,0.48996830
70,c=5,0.31704226
71,c=5,0.36952072
72,c=5,0.31884772
73,c=5,0.28677195
74,c=5,0.37839775
75,c=5,0.30350795
76,c=5,0.34525916
77,c=5,0.37499549
78,c=5,0.39968754
79,c=5,0.32495100
80,c=5,0.39805537
81,c=5,0.34952674
82,c=5,0.33874850
83,c=5,0.38129590
84,c=5,0.34159570
